transaction_id,date,timestamp,customer_id,product_sku,product_category,product_subcategory,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,sales_channel,store_location,store_id,payment_method,shipping_method,marketing_campaign,referral_source,coupon_code,loyalty_tier,weekday,hour,log_unit_price,log_total_amount,unit_price_log,total_amount_log,final_amount_log,unit_price_adj,total_amount_adj,final_amount_adj,customer_id_new,transaction_id_new,date_pre_season,month
TXN-20240717-4959,2024-07-17,2024-07-17 10:48:18,CUST-011853,HOM-SMA-2133,Home & Garden,Garden Tools,SmartLife Classic Tool,2,52.38,104.76,0.0,104.76,Phone,,,Credit Card,Standard,,Organic,,Silver,Wednesday,9,3.9774361439763783,4.6611723761033765,3.958524839079566,4.651672019639511,4.651672019639511,48.71577953791082,97.43155907582164,97.43155907582164,CUST-10411,TXN-20240717-8BFI,2024-07-17,7
TXN-20240125-1611,2024-01-25,2024-01-25 13:08:47,CUST-011627,AUT-OUT-1717,Automotive,Car Parts,OutdoorAdventure Advanced Accessory Collection 591,1,68.61,68.61,0.0,68.61,In-Store,Philadelphia,STORE-821,Credit Card,,,Organic,,Gold,Thursday,14,4.242908235180575,4.242908235180575,4.2284382967028,4.2284382967028,4.2284382967028,61.15572637245319,61.15572637245319,61.15572637245319,CUST-15899,TXN-20240125-8OJG,2024-01-25,1
TXN-20230127-1527,2023-01-27,2023-01-27 14:51:21,CUST-014751,SPO-AUT-2033,Sports,Fitness Equipment,AutoCare Premium Product,4,98.11,392.44,58.87,333.57,Mobile App,,,Apple Pay,Express,,Organic,,Gold,Friday,12,4.596230344418617,5.974928578467883,4.5860892981753,5.97238365929519,5.809852738383268,103.55815554806173,414.23262219224694,355.36262219224693,CUST-19354,TXN-20230127-ZACF,2023-01-27,1
TXN-20230314-1911,2023-03-14,2023-03-14 14:23:21,CUST-015133,ELE-SPO-2518,Electronics,Smartphones,SportElite Ultra Tablet,1,56.35,56.35,0.0,56.35,In-Store,San Diego,STORE-408,Debit Card,,,Organic,,Silver,Tuesday,12,4.04917284357538,4.04917284357538,4.031582240485785,4.031582240485785,4.031582240485785,61.628612650644776,61.628612650644776,61.628612650644776,CUST-18925,TXN-20230314-0R7F,2023-03-14,3
TXN-20220604-8737,2022-11-25,2022-06-04 18:54:34,,AUT-HOM-3336,Automotive,Accessories,HomeComfort Smart Product,4,68.58,68.58,0.0,68.58,Online,,,Credit Card,Standard,,Organic,,,Friday,20,4.242477169723796,4.242477169723796,4.228000947034774,4.228000947034774,4.228000947034774,73.22711177877643,73.22711177877643,73.22711177877643,,TXN-20220604-A6AH,2022-06-04,11
TXN-20221229-4952,2021-11-26,2022-12-29 13:36:26,CUST-010418,CLO-KIT-2338,Clothing,Accessories,KitchenMaster Advanced Jacket,5,29.22,58.44,0.0,58.44,In-Store,San Antonio,STORE-797,Cash,,,Organic,,Bronze,Friday,15,3.4085039568445934,4.084967400409504,3.3748534063225533,4.068000586882499,4.068000586882499,33.470754440799595,66.94150888159919,66.94150888159919,CUST-19641,TXN-20221229-HCAS,2022-12-29,11
TXN-20231125-8305,2023-11-25,2023-11-25 22:56:42,CUST-014311,HOM-FAS-1099,Home & Garden,Kitchen,FashionForward Pro Vase,1,31.18,31.18,0.0,31.18,Mobile App,,,Credit Card,Standard,,Organic,,Silver,Saturday,21,3.471345141564237,3.471345141564237,3.4397768636296306,3.4397768636296306,3.4397768636296306,31.39573359845344,31.39573359845344,31.39573359845344,CUST-16361,TXN-20231125-IKZO,2023-11-25,11
TXN-20230616-7917,2021-11-26,2023-06-16 21:51:41,,CLO-SPO-2769,Clothing,Shoes,SportElite Premium Shoes Model 257,4,60.02,60.02,6.0,54.02,In-Store,Denver,STORE-324,Debit Card,,,Organic,,,Friday,22,4.1112016792885235,4.1112016792885235,4.0946778400122215,4.0946778400122215,3.98935434836447,72.47658675299863,72.47658675299863,66.47658675299863,,TXN-20230616-IEAS,2023-06-16,11
TXN-20230730-5525,2023-07-29,2023-07-30 20:07:28,CUST-015326,BOO-AUT-3376,Books,Educational,AutoCare Elite Product,1,27.82,27.82,6.96,20.86,Phone,,,Credit Card,Express,CAMP-1027,TV,,Silver,Saturday,19,3.361069590571376,3.361069590571376,3.325755186495297,3.325755186495297,3.0378334495726262,24.170187228802646,24.170187228802646,17.210187228802646,CUST-18707,TXN-20230730-U29E,2023-07-29,7
TXN-20230224-2773,2023-02-24,2023-02-24 10:37:07,CUST-017746,HOM-SMA-1038,Home & Garden,Garden Tools,SmartLife Smart Vase Edition 597,4,9.94,39.76,0.0,39.76,Phone,,,Google Pay,Standard,,Organic,,Silver,Friday,11,2.392425796993835,3.707701208354524,2.2965670206684825,3.6828613817883733,3.6828613817883733,9.560548365981914,38.242193463927656,38.242193463927656,CUST-18693,TXN-20230224-E2A8,2023-02-24,2
TXN-20240318-9406,2023-11-24,2024-03-18 18:33:42,CUST-014952,BEA-AUT-2081,Beauty,Hair Care,AutoCare Classic Gear Edition 734,2,36.44,36.44,5.47,30.97,In-Store,Boston,STORE-428,Credit Card,,,Organic,,Gold,Friday,16,3.622739651609391,3.622739651609391,3.5956670723917576,3.5956670723917576,3.4330189939851112,34.57762278226601,34.57762278226601,29.107622782266013,CUST-19016,TXN-20240318-4N1W,2024-03-18,11
TXN-20230530-4434,2023-05-30,2023-05-30 11:25:17,CUST-010597,AUT-KIT-2608,Automotive,Accessories,KitchenMaster Premium Accessory Series 525,1,37.94,37.94,0.0,37.94,Phone,,,Credit Card,Standard,,Organic,,Gold,Tuesday,10,3.6620219999440535,3.6620219999440535,3.636005964506868,3.636005964506868,3.636005964506868,44.29903784027223,44.29903784027223,44.29903784027223,CUST-10079,TXN-20230530-3ER7,2023-05-30,5
TXN-20240423-1460,2021-11-26,2024-04-23 16:56:18,,BOO-FAS-1540,Books,Children Books,FashionForward Modern Item,4,124.45,248.9,0.0,248.9,In-Store,Denver,STORE-945,Debit Card,,,Organic,,,Friday,18,4.8319072728124315,5.521060837840906,4.823904028813601,5.517051209373546,5.517051209373546,119.77497000671354,239.5499400134271,239.5499400134271,,TXN-20240423-0UT1,2024-04-23,11
TXN-20230506-2121,2023-05-06,2023-05-06 10:10:18,,BEA-SPO-2528,Beauty,Fragrances,SportElite Ultra Gear,1,26.99,26.99,0.0,26.99,In-Store,Jacksonville,STORE-727,Cash,,,Organic,,,Saturday,9,3.331847303527362,3.331847303527362,3.2954664270299134,3.2954664270299134,3.2954664270299134,31.40696537987601,31.40696537987601,31.40696537987601,,TXN-20230506-00WN,2023-05-06,5
TXN-20230512-5304,2023-05-12,2023-05-12 13:54:28,,HOM-BEA-2664,Home & Garden,Garden Tools,BeautyGlow Classic Chair,2,147.28,294.56,0.0,294.56,In-Store,Chicago,STORE-356,Cash,,,Organic,,,Friday,12,4.999102378282531,5.688871861920447,4.992335536924823,5.685482717484768,5.685482717484768,169.74231485452682,339.48462970905365,339.48462970905365,,TXN-20230512-T0K9,2023-05-12,5
TXN-20220125-2791,2022-01-25,2022-01-25 07:04:22,CUST-018450,ELE-SPO-1001,Electronics,Smart Home,SportElite Classic Laptop,3,117.02,351.06,70.21,280.85,In-Store,Phoenix,STORE-121,Credit Card,,,Organic,,Bronze,Tuesday,5,4.7708541016290225,5.8638016156178265,4.76234486036009,5.8609571490281995,5.637820718978442,104.54170002028171,313.6251000608451,243.41510006084513,CUST-14915,TXN-20220125-875T,2022-01-25,1
TXN-20221115-5019,2022-11-15,2022-11-15 12:58:25,CUST-016525,AUT-AUT-1428,Automotive,Accessories,AutoCare Modern Accessory,1,70.58,70.58,0.0,70.58,In-Store,Columbus,STORE-866,Cash,,,Organic,,Bronze,Tuesday,14,4.2708157053378795,4.2708157053378795,4.256746818247124,4.256746818247124,4.256746818247124,85.03389671230104,85.03389671230104,85.03389671230104,CUST-19145,TXN-20221115-RJIB,2022-11-15,11
TXN-20221213-4330,2024-11-29,2022-12-13 18:50:46,CUST-011872,BEA-HOM-3062,Beauty,Makeup,HomeComfort Elite Item Kit 776,4,54.48,108.96,5.45,103.51,Mobile App,,,Credit Card,Standard,CAMP-1094,Google Ads,,Silver,Friday,20,4.016022595446631,4.700116663297045,3.997833661841257,4.690980842401202,4.639668226395659,62.95027554488818,125.90055108977636,120.45055108977635,CUST-12737,TXN-20221213-739S,2022-12-13,11
TXN-20240601-1479,2024-06-01,2024-06-01 12:31:03,CUST-011926,AUT-TEC-1258,Automotive,Car Care,TechPro Elite Item,1,75.13,75.13,11.27,63.86,Online,,,Debit Card,Standard,,Organic,,Silver,Saturday,12,4.332442405318121,4.332442405318121,4.319219946381069,4.319219946381069,4.156693187286636,67.75865994668757,67.75865994668757,56.48865994668758,CUST-13816,TXN-20240601-YIED,2024-06-01,6
TXN-20221201-1576,2022-12-01,2022-12-01 19:53:35,CUST-012375,AUT-BEA-2953,Automotive,Car Care,BeautyGlow Advanced Accessory,2,28.71,57.42,14.36,43.06,In-Store,Jacksonville,STORE-984,Cash,,,Organic,,Silver,Thursday,19,3.391483689474516,4.067658296959595,3.3572454941329726,4.050392674692918,3.762594491936217,28.430949851954406,56.86189970390881,42.50189970390881,CUST-15685,TXN-20221201-48CD,2022-12-01,12
TXN-20240609-6217,2024-06-09,2024-06-09 08:29:24,CUST-014451,SPO-AUT-1491,Sports,Fitness Equipment,AutoCare Premium Gear Series 249,1,149.11,149.11,0.0,149.11,Online,,,Credit Card,Standard,,Organic,,Bronze,Sunday,8,5.011368358672085,5.011368358672085,5.0046842886028164,5.0046842886028164,5.0046842886028164,150.7477299458455,150.7477299458455,150.7477299458455,CUST-17707,TXN-20240609-5LXT,2024-06-09,6
TXN-20240805-2693,2024-08-05,2024-08-05 10:56:14,,HOM-FAS-3390,Home & Garden,Furniture,FashionForward Ultra Pot,3,8.61,25.83,0.0,25.83,In-Store,Philadelphia,STORE-574,Cash,,,Organic,,,Monday,8,2.262804222982201,3.2895206644375325,2.152924318439639,3.251536607107749,3.251536607107749,10.237061829279718,30.711185487839153,30.711185487839153,,TXN-20240805-NJS1,2024-08-05,8
TXN-20230817-7453,2023-11-24,2023-08-17 22:20:40,CUST-016225,BOO-TEC-3362,Books,Fiction,TechPro Ultra Accessory Model 549,3,11.42,22.84,3.43,19.41,In-Store,San Jose,STORE-978,Credit Card,,,Organic,,Bronze,Friday,21,2.519308076505333,3.171364842197149,2.435366204227864,3.1285133847878095,2.9657883971809187,10.239139893501072,20.478279787002144,17.048279787002144,CUST-16856,TXN-20230817-8L9G,2023-08-17,11
TXN-20240329-8140,2024-03-29,2024-03-29 14:15:32,CUST-012097,ELE-STY-2083,Electronics,Headphones,StyleMax Modern Tablet,1,787.32,787.32,196.83,590.49,Online,,,Credit Card,Express,,Organic,,Gold,Friday,16,6.669904098795653,6.669904098795653,6.668634773144786,6.668634773144786,6.380952700693006,835.061535941411,835.061535941411,638.2315359414109,CUST-10593,TXN-20240329-J4AN,2024-03-29,3
TXN-20220619-3923,2022-06-18,2022-06-19 22:04:41,CUST-019198,BOO-SMA-2407,Books,Fiction,SmartLife Advanced Item,1,174.58,174.58,8.73,165.85,Mobile App,,,PayPal,Same-Day,CAMP-1143,Affiliate,,Bronze,Saturday,0,5.1680947794980625,5.1680947794980625,5.162383089307204,5.162383089307204,5.111083765393062,162.71955674989104,162.71955674989104,153.98955674989105,CUST-37655,TXN-20220619-LIOB,2022-06-18,6
TXN-20231208-2457,2023-12-08,2023-12-08 14:47:43,CUST-019899,BEA-OUT-1105,Beauty,Fragrances,OutdoorAdventure Advanced Item,2,50.51,101.02,0.0,101.02,Mobile App,,,Credit Card,Standard,CAMP-1035,Influencer,,Gold,Friday,13,3.941775963577494,4.625168872494781,3.9221713364799613,4.615318517039906,4.615318517039906,50.9043063845659,101.8086127691318,101.8086127691318,CUST-29605,TXN-20231208-L7VJ,2023-12-08,12
TXN-20220703-8100,2022-07-03,2022-07-03 13:37:40,CUST-010445,SPO-STY-2178,Sports,Fitness Equipment,StyleMax Pro Tool,1,12.95,12.95,0.0,12.95,In-Store,Boston,STORE-564,Debit Card,,,Organic,,Platinum,Sunday,15,2.6354795082673745,2.6354795082673745,2.5610957881455465,2.5610957881455465,2.5610957881455465,15.495807344451988,15.495807344451988,15.495807344451988,CUST-12097,TXN-20220703-UZ5P,2022-07-03,7
TXN-20221212-7062,2022-12-12,2022-12-12 18:42:40,CUST-012088,HOM-AUT-2389,Home & Garden,Home Decor,AutoCare Elite Chair,1,13.34,13.34,0.0,13.34,Phone,,,Credit Card,Express,,Organic,,Bronze,Monday,17,2.663052835171474,2.663052835171474,2.590767040487478,2.590767040487478,2.590767040487478,16.32471375055597,16.32471375055597,16.32471375055597,CUST-16702,TXN-20221212-FBCE,2022-12-12,12
TXN-20230110-5180,2025-11-28,2023-01-10 10:06:13,CUST-017740,HOM-AUT-2739,Home & Garden,Home Decor,AutoCare Premium Chair,4,161.98,323.96,0.0,323.96,Online,,,Credit Card,Same-Day,,Organic,,Silver,Friday,8,5.093627493892074,5.783702097832075,5.087472870820844,5.780620051380789,5.780620051380789,168.34584715747835,336.6916943149567,336.6916943149567,CUST-10142,TXN-20230110-5Z3Z,2023-01-10,11
TXN-20221125-8093,2023-11-24,2022-11-25 16:10:01,CUST-010215,HOM-BEA-2910,Home & Garden,Home Decor,BeautyGlow Classic Vase,6,269.45,1077.8,0.0,1077.8,In-Store,Columbus,STORE-205,Credit Card,,CAMP-1179,TV,,Gold,Friday,14,5.600087238317436,6.983604591265575,5.596382844379506,6.982677205499396,6.982677205499396,229.7194921311804,918.8779685247216,918.8779685247216,CUST-10463,TXN-20221125-TDS7,2022-11-25,11
TXN-20230811-1338,2025-11-28,2023-08-11 08:44:05,CUST-013745,HOM-FAS-2005,Home & Garden,Kitchen,FashionForward Smart Lamp,5,56.62,113.24,0.0,113.24,Online,,,Google Pay,Standard,,Organic,,Gold,Friday,6,4.053869729656382,4.738301498591274,4.036362279683754,4.7295094602436984,4.7295094602436984,61.3856076993765,122.771215398753,122.771215398753,CUST-11606,TXN-20230811-XSV1,2023-08-11,11
TXN-20240316-9596,2024-03-14,2024-03-16 09:54:03,CUST-011439,AUT-HOM-2870,Automotive,Accessories,HomeComfort Advanced Item,1,21.33,21.33,0.0,21.33,Online,,,Credit Card,Standard,,Organic,,Bronze,Thursday,8,3.1059310658520665,3.1059310658520665,3.0601145324832593,3.0601145324832593,3.0601145324832593,18.971429623259805,18.971429623259805,18.971429623259805,CUST-17293,TXN-20240316-8F6F,2024-03-14,3
TXN-20220617-7516,2024-11-29,2022-06-17 19:15:18,CUST-017790,BEA-STY-2322,Beauty,Fragrances,StyleMax Smart Product,4,33.28,33.28,0.0,33.28,Online,,,Credit Card,Same-Day,,Organic,,Silver,Friday,18,3.534562093729579,3.534562093729579,3.5049566159530077,3.5049566159530077,3.5049566159530077,40.164347895260356,40.164347895260356,40.164347895260356,CUST-13373,TXN-20220617-TSCJ,2022-06-17,11
TXN-20230514-2083,2022-11-25,2023-05-14 20:41:13,,AUT-KIT-3493,Automotive,Car Parts,KitchenMaster Advanced Item,7,243.5,974.0,0.0,974.0,In-Store,Fort Worth,STORE-494,Cash,,CAMP-1126,Affiliate,CAMP-1126-500,,Friday,21,5.499215308914927,6.882437470997847,5.495116942522644,6.881411303642535,6.881411303642535,218.25880969668657,873.0352387867463,873.0352387867463,,TXN-20230514-LEI6,2023-05-14,11
TXN-20231231-7792,2023-12-31,2023-12-31 12:43:25,CUST-011011,CLO-OUT-2753,Clothing,Accessories,OutdoorAdventure Ultra Pants,1,7.09,7.09,1.77,5.32,In-Store,New York,STORE-312,Credit Card,,,Organic,,Gold,Sunday,14,2.0906287310704004,2.0906287310704004,1.958685340544036,1.958685340544036,1.6714733033535532,5.856377428447551,5.856377428447551,4.086377428447552,CUST-11398,TXN-20231231-WGL8,2023-12-31,12
TXN-20220110-2859,2022-01-10,2022-01-10 13:37:25,CUST-017959,AUT-OUT-2117,Automotive,Accessories,OutdoorAdventure Advanced Accessory System 291,4,32.93,131.72,19.76,111.96,Online,,,Google Pay,Standard,,Organic,,Gold,Monday,15,3.5242995787961386,4.888241645882189,3.494384096388273,4.880678457508163,4.718141664647253,35.99991164537778,143.99964658151112,124.23964658151111,CUST-15074,TXN-20220110-I9AK,2022-01-10,1
TXN-20221225-9785,2025-11-28,2022-12-25 20:08:11,CUST-011305,BEA-SMA-1298,Beauty,Skincare,SmartLife Classic Equipment,5,147.79,295.58,0.0,295.58,In-Store,Seattle,STORE-662,Credit Card,,,Organic,,Bronze,Friday,21,5.002535915839606,5.692316996546923,4.995792347226481,5.6889395277864265,5.6889395277864265,123.84043266630262,247.68086533260524,247.68086533260524,CUST-13183,TXN-20221225-FD18,2022-12-23,11
TXN-20230108-7796,2025-11-28,2023-01-08 13:21:14,CUST-014608,HOM-STY-1767,Home & Garden,Kitchen,StyleMax Smart Pot,4,136.27,136.27,0.0,136.27,Mobile App,,,Credit Card,Standard,,Organic,,Gold,Friday,14,4.921949789263568,4.921949789263568,4.914638211761729,4.914638211761729,4.914638211761729,170.16923032402653,170.16923032402653,170.16923032402653,CUST-17686,TXN-20230108-TLTY,2023-01-08,11
TXN-20240502-9524,2024-05-02,2024-05-02 19:34:55,,HOM-SMA-2767,Home & Garden,Furniture,SmartLife Classic Lamp Series 257,1,25.09,25.09,0.0,25.09,Online,,,Credit Card,Express,,Organic,,,Thursday,17,3.261552099148637,3.261552099148637,3.222469360378331,3.222469360378331,3.222469360378331,30.19649776678139,30.19649776678139,30.19649776678139,,TXN-20240502-7W29,2024-05-02,5
TXN-20241126-6523,2024-11-26,2024-11-26 23:51:58,CUST-013215,HOM-BEA-2082,Home & Garden,Furniture,BeautyGlow Modern Vase,2,40.38,80.76,4.04,76.72,Mobile App,,,Apple Pay,Standard,,Organic,,Silver,Tuesday,0,3.722797672317397,4.403788126455394,3.6983346128846915,4.391481793444637,4.340162430575183,39.839229160269234,79.67845832053847,75.63845832053846,CUST-18380,TXN-20241126-MAX6,2024-11-26,11
TXN-20231116-9734,2023-11-16,2023-11-16 14:35:51,,AUT-TEC-1646,Automotive,Accessories,TechPro Classic Equipment,1,4.99,4.99,0.0,4.99,In-Store,Dallas,STORE-307,Debit Card,,,Organic,,,Thursday,13,1.790091412127358,1.790091412127358,1.6074359097634274,1.6074359097634274,1.6074359097634274,4.771720604482967,4.771720604482967,4.771720604482967,,TXN-20231116-EBQG,2023-11-16,11
TXN-20230905-7692,2021-11-26,2023-09-05 13:41:53,CUST-013826,CLO-SPO-2927,Clothing,Mens Apparel,SportElite Smart Dress,5,33.67,33.67,0.0,33.67,Online,,,Credit Card,Express,,Organic,,Silver,Friday,13,3.545874759696932,3.545874759696932,3.516607233172983,3.516607233172983,3.516607233172983,35.7413534320884,35.7413534320884,35.7413534320884,CUST-17260,TXN-20230905-BPAD,2023-09-05,11
TXN-20231231-2968,2023-12-30,2023-12-31 12:56:51,CUST-013195,ELE-BEA-3277,Electronics,Headphones,BeautyGlow Pro Laptop,2,45.09,90.18,0.0,90.18,Online,,,Credit Card,Standard,,Organic,,Bronze,Saturday,11,3.830596006732417,4.512835574785296,3.8086604924329928,4.501807672992938,4.501807672992938,38.6561407383053,77.3122814766106,77.3122814766106,CUST-15728,TXN-20231231-USQB,2023-12-30,12
TXN-20240407-9588,2024-04-07,2024-04-07 11:20:21,CUST-010853,HOM-SPO-1217,Home & Garden,Garden Tools,SportElite Premium Table Edition 218,1,29.89,29.89,0.0,29.89,Online,,,PayPal,Express,,Organic,,Gold,Sunday,12,3.43043250693049,3.43043250693049,3.3975239762958465,3.3975239762958465,3.3975239762958465,35.62156157701567,35.62156157701567,35.62156157701567,CUST-11666,TXN-20240407-00G9,2024-04-07,4
TXN-20240425-2049,2024-04-25,2024-04-25 13:07:11,CUST-018746,BEA-SPO-3481,Beauty,Fragrances,SportElite Elite Accessory,1,180.04,180.04,0.0,180.04,Online,,,Credit Card,Express,,Organic,,Bronze,Thursday,15,5.198718001325282,5.198718001325282,5.1931790484247315,5.1931790484247315,5.1931790484247315,200.52954876939782,200.52954876939782,200.52954876939782,CUST-15810,TXN-20240425-E07P,2024-04-25,4
TXN-20220827-2113,2025-11-28,2022-08-27 06:37:11,CUST-019917,BOO-BEA-2222,Books,Fiction,BeautyGlow Premium Tool,7,98.31,393.24,0.0,393.24,In-Store,New York,STORE-696,Cash,,CAMP-1110,Email,,Silver,Friday,5,4.598246270915268,5.9769598609051,4.588125751378833,5.9744201124987235,5.9744201124987235,83.58368810502175,334.334752420087,334.334752420087,CUST-44750,TXN-20220827-MEXJ,2022-08-27,11
TXN-20241104-1427,2024-11-04,2024-11-04 12:23:42,CUST-013960,ELE-STY-1097,Electronics,Smart Home,StyleMax Smart Tablet,1,254.02,254.02,50.8,203.22,Mobile App,,,Credit Card,Standard,,Organic,,Platinum,Monday,14,5.5413419734553955,5.5413419734553955,5.537413004076173,5.537413004076173,5.314289136057735,222.61899019799137,222.61899019799137,171.81899019799135,CUST-10832,TXN-20241104-TNRP,2024-11-04,11
TXN-20230602-1795,2023-06-02,2023-06-02 10:51:49,CUST-015341,SPO-HOM-2549,Sports,Fitness Equipment,HomeComfort Classic Accessory,1,77.56,77.56,0.0,77.56,Mobile App,,,Credit Card,Express,,Organic,,Bronze,Friday,9,4.36386266404621,4.36386266404621,4.351051830374451,4.351051830374451,4.351051830374451,91.45048834808213,91.45048834808213,91.45048834808213,CUST-14467,TXN-20230602-1I36,2023-06-02,6
TXN-20230712-7289,2022-11-25,2025-01-09 00:00:00,CUST-010577,SPO-TEC-2122,Sports,Outdoor Gear,TechPro Smart Equipment,3,96.73,96.73,24.18,72.55,Online,,,Credit Card,Standard,,Organic,,Gold,Friday,2,4.582208574350744,4.582208574350744,4.571923592194456,4.571923592194456,4.2842759793301965,94.05488506492014,94.05488506492014,69.87488506492014,CUST-15846,TXN-20230712-61L0,2025-01-09,11
TXN-20220811-2538,2022-08-11,2022-08-11 13:19:50,CUST-019716,CLO-AUT-3229,Clothing,Shoes,AutoCare Advanced Hat,1,73.63,73.63,0.0,73.63,Mobile App,,,Credit Card,In-Store Pickup,CAMP-1125,Affiliate,,Gold,Thursday,12,4.312542571143296,4.312542571143296,4.299052551380625,4.299052551380625,4.299052551380625,87.41392072927684,87.41392072927684,87.41392072927684,CUST-47531,TXN-20220811-8KGF,2022-08-11,8
TXN-20220801-3918,2022-08-01,2022-08-01 18:04:57,CUST-011698,BOO-KIT-2933,Books,Children Books,KitchenMaster Ultra Product System 227,1,48.56,48.56,0.0,48.56,Online,,,Credit Card,Standard,,Organic,,Bronze,Monday,20,3.9031840567609417,3.9031840567609417,3.8828001467512427,3.8828001467512427,3.8828001467512427,47.95141791326453,47.95141791326453,47.95141791326453,CUST-17798,TXN-20220801-P94K,2022-08-01,8
