campaign_id,campaign_name,campaign_type,start_date,end_date,budget,target_audience,channel_focus,promotion_type,success_metric,duration_days,log_budget,budget_log,campaign_name_realistic
CAMP-1059,Loyalty Event,Influencer,2024-03-14,2024-04-28,22252.29,Young Adults,In-Store,Bundle Deal,Conversions,45,10.010245141831948,10.010200203646662,Ignite Winter Offer
CAMP-1060,Fall Promotion,PPC,2024-05-31,2024-08-16,45615.24,High Income,Online,Discount,Brand Awareness,77,10.728019072450433,10.727997150192895,Momentum Spring Wave
CAMP-1061,Weekend Sale,PPC,2023-05-26,2023-07-17,10377.78,Budget Conscious,In-Store,Discount,Conversions,52,9.247518616093561,9.247422261013455,Stride Back-to-School Blast
CAMP-1062,Holiday Special,Radio,2022-04-27,2022-06-12,97837.11,Seniors,Multi-Channel,Gift with Purchase,Customer Acquisition,46,11.491069452921817,11.491059231903538,Inspire Winter Blast
CAMP-1063,Summer Special,Print,2022-02-04,2022-04-02,12346.33,Families,Online,BOGO,Traffic,57,9.421195124350776,9.421114131901657,Pulse Back-to-School Bonanza
CAMP-1064,Flash Deal,Social Media,2022-04-02,2022-04-28,20037.41,Professionals,Mobile,Free Shipping,Brand Awareness,26,9.905406210733746,9.90535630532943,Boost Winter Offer
CAMP-1065,Fall Sale,PPC,2023-11-18,2024-01-22,29971.85,Young Adults,Email Only,Discount,Revenue,65,10.308047250884552,10.308013886800651,Momentum Summer Blast
CAMP-1066,Spring Bonanza,Print,2022-09-24,2022-11-15,13039.87,Families,Email Only,Free Shipping,Customer Acquisition,52,9.475843551046522,9.475766866105797,Momentum Autumn Blast
CAMP-1067,Mega Bonanza,TV,2023-09-15,2023-11-27,71572.49,Families,Email Only,Gift with Purchase,Brand Awareness,73,11.178480032992118,11.178466061241041,Voyage Winter Event
CAMP-1068,New Customer Deal,Influencer,2022-08-04,2022-10-18,2541.36,Seniors,Online,Bundle Deal,Brand Awareness,75,7.840848062493171,7.840454649790309,Momentum Winter Sale
CAMP-1069,Flash Special,Print,2023-09-28,2023-11-13,16531.34,Students,Email Only,Discount,Revenue,46,9.713073741594833,9.713013252260295,Inspire Holiday Offer
CAMP-1070,Flash Event,Print,2023-01-04,2023-03-12,21988.3,Budget Conscious,In-Store,Bundle Deal,Revenue,67,9.998311250390932,9.998265772693188,Inspire Autumn Flash
CAMP-1071,Winter Promotion,Radio,2024-02-21,2024-04-29,73353.41,Budget Conscious,Multi-Channel,Discount,Brand Awareness,68,11.203057904463217,11.203044271924748,Momentum Holiday Sale
CAMP-1072,New Customer Bonanza,TV,2022-11-17,2022-12-29,99129.08,Students,In-Store,Cashback,Conversions,42,11.5041882060477,11.504178118241418,Voyage Holiday Blast
CAMP-1073,Loyalty Event,PPC,2022-09-26,2022-10-30,34136.17,Professionals,Multi-Channel,Bundle Deal,Customer Acquisition,34,10.438142098946514,10.438112804935116,Boost Back-to-School Bonanza
CAMP-1074,Flash Sale,Print,2023-07-01,2023-07-23,16184.5,Budget Conscious,Online,Discount,Conversions,22,9.691871058685148,9.691809273081175,Elevate Winter Bonanza
CAMP-1075,Loyalty Special,Email,2024-04-10,2024-07-02,10988.26,Seniors,Online,Bundle Deal,Brand Awareness,83,9.30467371119069,9.30458270911214,Ignite Summer Fest
CAMP-1076,Loyalty Special,Affiliate,2024-02-06,2024-03-02,14056.4,Professionals,Online,BOGO,Traffic,25,9.550904226500649,9.550833087060202,Surge Spring Flash
CAMP-1077,Loyalty Sale,Influencer,2024-05-10,2024-07-22,8975.9,Young Adults,Email Only,Cashback,Revenue,73,9.10240989011572,9.102298486880454,Surge Back-to-School Offer
CAMP-1078,Weekend Special,Affiliate,2023-10-04,2023-11-10,21393.52,High Income,Online,Discount,Revenue,37,9.970890093450846,9.970843351417317,Surge Summer Fest
CAMP-1079,Weekend Promotion,Affiliate,2022-01-21,2022-02-16,22213.81,High Income,Email Only,BOGO,Conversions,26,10.00851446255378,10.008469446525815,Revive Winter Wave
CAMP-1080,Summer Bonanza,Radio,2022-12-17,2023-03-03,63666.64,High Income,Email Only,Free Shipping,Customer Acquisition,76,11.061431706201914,11.061415999512402,Ignite Autumn Blast
CAMP-1081,Black Friday Special,Radio,2022-09-15,2022-12-05,192806.85,Young Adults,Email Only,Gift with Purchase,Conversions,81,12.169449376097353,12.169444189573085,Elevate Summer Blast
CAMP-1082,Weekend Bonanza,Print,2024-02-24,2024-05-10,1759.09,Budget Conscious,Email Only,Gift with Purchase,Traffic,76,7.473120223088414,7.472551908863558,Stride Spring Wave
CAMP-1083,Weekend Deal,Email,2022-02-22,2022-04-22,21191.07,Seniors,Online,Bundle Deal,Conversions,59,9.961382334079708,9.961335145504242,Boost Autumn Event
CAMP-1084,Weekend Sale,Influencer,2023-09-26,2023-10-28,12833.07,Students,In-Store,Gift with Purchase,Conversions,32,9.459858632557703,9.45978071191672,Surge Spring Offer
CAMP-1085,Back-to-School Sale,TV,2022-07-18,2022-09-21,187263.37,Families,Multi-Channel,Cashback,Traffic,65,12.140276640758023,12.140271300699633,Momentum Summer Blast
CAMP-1086,Weekend Sale,Print,2022-01-24,2022-04-23,2358.46,Seniors,Multi-Channel,Gift with Purchase,Customer Acquisition,89,7.766188058278518,7.765764142648335,Pulse Spring Wave
CAMP-1087,Back-to-School Deal,Email,2022-02-07,2022-03-08,22353.31,Students,Online,Bundle Deal,Brand Awareness,29,10.01477442261356,10.01472968751023,Surge Winter Sale
CAMP-1088,Loyalty Deal,Email,2022-01-26,2022-03-13,14484.1,Budget Conscious,Multi-Channel,Discount,Traffic,46,9.580875813873096,9.580806775031817,Revive Winter Fest
CAMP-1089,Holiday Blast,TV,2022-02-23,2022-03-06,176987.11,Students,Mobile,Cashback,Conversions,11,12.083837834158372,12.08383218404535,Boost Holiday Wave
CAMP-1090,Loyalty Special,Social Media,2022-10-13,2022-12-16,14350.53,Young Adults,Mobile,Gift with Purchase,Customer Acquisition,64,9.571611835713297,9.571542154303641,Stride Autumn Wave
CAMP-1091,Summer Event,Radio,2022-05-31,2022-08-09,64613.96,Students,Email Only,Bundle Deal,Customer Acquisition,70,11.076201241907796,11.07618576549586,Momentum Holiday Flash
CAMP-1092,Fall Sale,Affiliate,2024-06-20,2024-07-24,12559.18,Professionals,Multi-Channel,Discount,Customer Acquisition,34,9.43828677112969,9.438207151266722,Boost Summer Blast
CAMP-1093,Winter Blast,Affiliate,2022-06-23,2022-08-07,4435.7,Young Adults,Mobile,Discount,Customer Acquisition,45,8.397666135840833,8.397440717689209,Stride Winter Event
CAMP-1094,Mega Blast,PPC,2022-12-04,2023-02-11,48383.42,Budget Conscious,Multi-Channel,Free Shipping,Brand Awareness,69,10.786933140057085,10.786912472033492,Elevate Spring Flash
CAMP-1095,Super Bonanza,Social Media,2023-10-24,2023-11-24,8512.05,Families,Multi-Channel,Gift with Purchase,Revenue,31,9.049355559236949,9.049238085624324,Voyage Autumn Bonanza
CAMP-1096,Mega Bonanza,Social Media,2022-11-15,2023-02-04,20589.15,Seniors,Online,Bundle Deal,Brand Awareness,81,9.932568085085148,9.932519516993889,Stride Holiday Wave
CAMP-1097,Mega Event,Print,2023-04-28,2023-06-30,6560.58,Families,Mobile,Cashback,Brand Awareness,63,8.788986706596086,8.788834292663937,Surge Spring Wave
CAMP-1098,New Customer Bonanza,PPC,2024-08-11,2024-08-23,8801.26,Young Adults,Multi-Channel,Bundle Deal,Traffic,12,9.082763785675972,9.082650172034942,Revive Spring Event
CAMP-1099,Fall Deal,Radio,2022-07-23,2022-09-20,190751.0,Seniors,Multi-Channel,Gift with Purchase,Conversions,59,12.158729434019653,12.158724191596919,Pulse Winter Flash
CAMP-1100,Holiday Event,Social Media,2022-12-11,2023-01-22,7042.63,Families,In-Store,Free Shipping,Brand Awareness,42,8.859878941263196,8.859736958934079,Ignite Holiday Flash
CAMP-1101,Super Deal,Print,2023-04-21,2023-05-19,15262.41,High Income,Email Only,BOGO,Revenue,28,9.633213739901187,9.633148221595677,Revive Winter Flash
CAMP-1102,Black Friday Event,Influencer,2023-11-18,2024-01-02,13610.24,Seniors,Multi-Channel,Cashback,Conversions,45,9.51865120097362,9.518577729582612,Revive Spring Fest
CAMP-1103,Super Blast,Influencer,2023-08-26,2023-09-04,16648.77,Budget Conscious,Email Only,Cashback,Conversions,9,9.720151681499365,9.720091618805908,Elevate Autumn Flash
CAMP-1104,Black Friday Deal,Email,2023-05-14,2023-06-22,9743.41,Families,Email Only,Gift with Purchase,Traffic,39,9.184449066240157,9.184346438034346,Surge Spring Wave
CAMP-1105,Flash Deal,Email,2023-12-23,2024-01-03,9634.13,High Income,Mobile,BOGO,Traffic,11,9.173171073232794,9.173067280974982,Momentum Autumn Sale
CAMP-1106,Winter Event,TV,2023-03-26,2023-05-24,64014.65,Professionals,In-Store,BOGO,Customer Acquisition,59,11.066882863698916,11.066867242396771,Voyage Spring Flash
CAMP-1107,Weekend Promotion,Affiliate,2023-03-15,2023-05-11,12139.64,Budget Conscious,Email Only,BOGO,Brand Awareness,57,9.404313781510584,9.404231410137555,Ignite Holiday Blast
CAMP-1108,Back-to-School Blast,Affiliate,2023-04-08,2023-04-28,5634.28,High Income,In-Store,Discount,Conversions,20,8.63680211468039,8.63662464546196,Inspire Summer Event
CAMP-1109,Weekend Blast,Affiliate,2024-08-26,2024-10-24,4879.46,Families,In-Store,Bundle Deal,Conversions,59,8.492994756699863,8.49278983698669,Stride Spring Offer
CAMP-1110,New Customer Special,Email,2022-08-08,2022-09-05,17171.96,Professionals,Email Only,Bundle Deal,Revenue,28,9.751091332743393,9.751033099968339,Elevate Back-to-School Wave
CAMP-1111,Winter Promotion,Print,2023-08-06,2023-09-27,7771.06,Seniors,Email Only,Bundle Deal,Brand Awareness,52,8.958290530488119,8.958161856193462,Surge Autumn Flash
CAMP-1112,New Customer Special,Email,2022-04-14,2022-07-09,15596.84,Seniors,Email Only,Discount,Conversions,86,9.654887722112482,9.654823608616185,Pulse Back-to-School Bonanza
CAMP-1113,Spring Bonanza,PPC,2024-01-12,2024-01-26,47253.83,Budget Conscious,Email Only,Free Shipping,Brand Awareness,14,10.763310149919775,10.763288987837909,Stride Holiday Wave
CAMP-1114,Weekend Deal,Email,2023-06-29,2023-09-06,6499.99,Students,In-Store,Cashback,Conversions,69,8.779709751978396,8.779555917421007,Ignite Spring Flash
CAMP-1115,Winter Special,Email,2022-06-18,2022-08-21,5263.18,High Income,Mobile,Discount,Conversions,64,8.568680666949408,8.568490685794968,Momentum Spring Offer
CAMP-1116,Super Bonanza,TV,2024-02-20,2024-04-05,100974.83,Students,Multi-Channel,BOGO,Revenue,45,11.522636460254231,11.52262655684515,Voyage Back-to-School Event
CAMP-1117,Summer Special,Print,2022-01-30,2022-02-17,10560.71,Young Adults,Email Only,Free Shipping,Customer Acquisition,18,9.264990475968892,9.264895789848577,Surge Holiday Event
CAMP-1118,Holiday Special,Influencer,2024-06-14,2024-09-11,20693.28,Students,In-Store,Free Shipping,Brand Awareness,89,9.937612612565289,9.937564288866081,Momentum Back-to-School Fest
CAMP-1119,Black Friday Event,Radio,2023-03-07,2023-06-05,176705.29,Young Adults,Multi-Channel,Gift with Purchase,Traffic,90,12.082244254731387,12.082238595607258,Surge Winter Sale
CAMP-1120,Winter Sale,TV,2023-02-06,2023-04-15,102653.76,Budget Conscious,Mobile,Cashback,Traffic,68,11.53912679253612,11.539117051099185,Elevate Back-to-School Fest
CAMP-1121,New Customer Promotion,Radio,2022-06-24,2022-07-22,90289.68,Budget Conscious,Online,Discount,Customer Acquisition,28,11.410789522561236,11.41077844715968,Boost Winter Event
CAMP-1122,Spring Bonanza,Print,2024-03-15,2024-03-24,20879.22,Students,Mobile,BOGO,Traffic,9,9.946557578339535,9.946509684976972,Inspire Holiday Fest
CAMP-1123,Spring Special,Social Media,2022-04-18,2022-07-04,47606.28,Seniors,In-Store,Bundle Deal,Brand Awareness,77,10.770740969701672,10.770719964290258,Revive Holiday Bonanza
CAMP-1124,Super Special,Email,2024-08-08,2024-11-04,10378.56,Budget Conscious,Email Only,Discount,Conversions,88,9.247593766611413,9.247497418772516,Ignite Autumn Wave
CAMP-1125,Spring Event,Affiliate,2022-08-04,2022-09-08,1409.05,Families,Multi-Channel,Cashback,Customer Acquisition,35,7.251380443736395,7.2506709974294585,Inspire Winter Fest
CAMP-1126,Fall Blast,Affiliate,2023-02-24,2023-05-21,1757.23,Students,Email Only,BOGO,Traffic,86,7.472062900176753,7.4714939845714134,Elevate Autumn Sale
CAMP-1127,Spring Event,PPC,2022-06-08,2022-08-20,41060.15,Students,In-Store,BOGO,Customer Acquisition,73,10.622817697974186,10.622793343756705,Voyage Winter Offer
CAMP-1128,Summer Event,Affiliate,2023-06-05,2023-08-15,4177.07,Professionals,In-Store,Discount,Traffic,71,8.337604696404114,8.337365322795826,Revive Autumn Sale
CAMP-1129,Summer Bonanza,Influencer,2022-09-29,2022-12-11,14710.94,Budget Conscious,Mobile,Bundle Deal,Traffic,73,9.596414687972414,9.59634671366124,Surge Summer Sale
CAMP-1130,Back-to-School Deal,Print,2022-05-26,2022-07-13,15372.74,High Income,Email Only,Free Shipping,Traffic,48,9.640416138097022,9.640351090000436,Surge Back-to-School Offer
CAMP-1131,Super Event,TV,2024-09-26,2024-11-02,184033.11,Students,Mobile,Gift with Purchase,Customer Acquisition,37,12.122876399845076,12.12287096605502,Revive Autumn Wave
CAMP-1132,Back-to-School Bonanza,Email,2022-05-26,2022-07-04,7328.77,Families,Email Only,Cashback,Conversions,39,8.899699416489355,8.89956297725304,Voyage Back-to-School Flash
CAMP-1133,Back-to-School Blast,Influencer,2023-08-23,2023-09-23,8957.38,Young Adults,Multi-Channel,Bundle Deal,Customer Acquisition,31,9.100344686050612,9.10023305249434,Boost Summer Bonanza
CAMP-1134,Super Sale,Social Media,2022-06-13,2022-09-01,21058.24,Students,Multi-Channel,Free Shipping,Conversions,80,9.95509469766738,9.9550472114455,Ignite Back-to-School Flash
CAMP-1135,Flash Event,Print,2023-04-12,2023-06-22,7478.14,Seniors,Email Only,Free Shipping,Customer Acquisition,71,8.919873091096559,8.919739376945124,Inspire Spring Fest
CAMP-1136,Summer Bonanza,Radio,2023-01-01,2023-04-01,142587.79,Budget Conscious,Email Only,BOGO,Brand Awareness,90,11.867720172371586,11.867713159172956,Voyage Winter Blast
CAMP-1137,New Customer Deal,PPC,2024-04-08,2024-06-12,22246.85,Students,In-Store,Bundle Deal,Conversions,65,10.010000653712,10.009955704538271,Voyage Autumn Blast
CAMP-1138,Super Blast,Email,2024-04-02,2024-06-17,13420.41,Young Adults,In-Store,Free Shipping,Traffic,76,9.504606472070598,9.504531961474784,Pulse Holiday Sale
CAMP-1139,Super Deal,PPC,2022-01-18,2022-03-05,39415.71,Students,In-Store,Free Shipping,Customer Acquisition,46,10.581945117051216,10.581919746778425,Momentum Autumn Flash
CAMP-1140,Summer Deal,TV,2024-01-17,2024-03-14,60242.7,Young Adults,Mobile,Free Shipping,Customer Acquisition,57,11.00615328157032,11.006136682186488,Momentum Winter Offer
CAMP-1141,Winter Special,Print,2022-07-20,2022-09-22,13312.85,Families,Mobile,Bundle Deal,Conversions,64,9.496560125760995,9.496485013185989,Pulse Back-to-School Wave
CAMP-1142,Super Deal,TV,2023-11-27,2023-12-15,147705.0,Professionals,In-Store,Free Shipping,Customer Acquisition,18,11.90297909057861,11.902972320350012,Inspire Holiday Offer
CAMP-1143,Mega Sale,Affiliate,2022-05-18,2022-07-24,5764.35,Families,In-Store,Cashback,Revenue,67,8.659621142048515,8.659447676996951,Surge Autumn Blast
CAMP-1144,Mega Deal,Radio,2022-10-06,2022-11-13,87519.63,Young Adults,In-Store,BOGO,Customer Acquisition,38,11.379629815984561,11.379618390041752,Ignite Back-to-School Event
CAMP-1145,Spring Sale,Radio,2023-04-11,2023-06-12,173167.81,High Income,Online,Gift with Purchase,Brand Awareness,62,12.062022178062563,12.062016403333919,Pulse Holiday Flash
CAMP-1146,Weekend Special,TV,2023-11-20,2023-12-02,77757.54,High Income,Email Only,BOGO,Customer Acquisition,12,11.26136366323789,11.261350802831428,Boost Summer Flash
CAMP-1147,Summer Deal,Radio,2022-08-03,2022-08-24,154582.91,Seniors,Email Only,Free Shipping,Conversions,21,11.948492334686936,11.948485865687449,Revive Autumn Flash
CAMP-1148,Black Friday Deal,Social Media,2023-10-11,2023-12-02,18621.91,Seniors,Mobile,Gift with Purchase,Conversions,52,9.832147822186112,9.832094123443563,Pulse Back-to-School Wave
CAMP-1149,Fall Sale,Social Media,2023-10-26,2023-11-02,29249.18,Families,Mobile,Cashback,Brand Awareness,7,10.28364100648722,10.283606818079003,Ignite Summer Offer
CAMP-1150,Winter Event,Print,2023-12-27,2024-02-29,5058.75,Professionals,In-Store,Discount,Customer Acquisition,64,8.529072353946315,8.528874696190075,Voyage Autumn Blast
